reading_id,machine_id,timestamp,avg_fuel_consumption_rate,idle_fuel_consumption_pct,rpm_variance,coolant_temp_anomalies,productive_time_mins,idle_time_mins,vibration_anomalies,overload_cycles,over_speed_events,tire_pressure_deviations,error_code_frequency,battery_low_voltage_events
500000,13,2025-08-27T05:30:00Z,10.718,33.43,56.86,0,2,13,0,0,0,0,0,0
500001,13,2025-08-27T05:45:00Z,13.817,27.54,55.43,0,2,13,1,0,0,0,0,0
500002,13,2025-08-27T06:00:00Z,12.453,28.22,47.26,0,2,13,0,0,0,0,0,0
500003,13,2025-08-27T06:15:00Z,12.786,21.0,65.71,0,2,13,0,0,0,0,0,0
500004,13,2025-08-27T06:30:00Z,11.5,23.39,20.83,0,3,12,0,0,0,0,0,0
500005,13,2025-08-27T06:45:00Z,9.413,26.81,60.05,0,3,12,0,0,0,1,0,0
500006,13,2025-08-27T07:00:00Z,10.651,23.34,88.43,0,3,12,0,0,0,0,0,0
500007,13,2025-08-27T07:15:00Z,10.775,29.1,67.54,0,3,12,0,0,0,0,0,0
500008,13,2025-08-27T07:30:00Z,10.67,30.12,83.7,0,2,13,0,0,0,0,0,0
500009,13,2025-08-27T07:45:00Z,10.897,29.58,66.31,0,3,12,0,0,0,0,0,0
500010,13,2025-08-27T08:00:00Z,25.136,76.86,48.03,0,0,15,0,0,0,0,0,0
500011,13,2025-08-27T08:15:00Z,20.558,90.2,45.84,0,0,15,0,0,0,0,0,0
500012,13,2025-08-27T08:30:00Z,24.182,93.17,93.17,0,1,14,0,0,0,0,1,0
500013,13,2025-08-27T08:45:00Z,23.139,71.78,74.86,0,1,14,0,0,0,0,0,0
500014,13,2025-08-27T09:00:00Z,24.165,72.67,15.96,0,1,14,0,0,0,0,0,0
500015,13,2025-08-27T09:15:00Z,24.945,85.09,47.45,0,1,14,1,0,0,0,0,0
500016,13,2025-08-27T09:30:00Z,20.326,84.9,53.15,0,0,15,0,1,0,0,0,0
500017,13,2025-08-27T09:45:00Z,24.16,84.52,22.98,0,1,14,0,0,0,0,0,0
500018,13,2025-08-27T10:00:00Z,21.72,92.38,49.83,0,0,15,0,0,0,0,0,0
500019,13,2025-08-27T10:15:00Z,23.535,79.27,53.69,0,1,14,0,0,0,0,1,0
500020,13,2025-08-27T10:30:00Z,23.834,73.37,27.55,0,3,12,0,1,0,0,0,0
500021,13,2025-08-27T10:45:00Z,12.017,25.73,38.67,0,8,7,0,0,0,0,0,0
500022,13,2025-08-27T11:00:00Z,11.016,15.61,49.71,0,9,6,1,0,1,0,0,0
500023,13,2025-08-27T11:15:00Z,10.689,13.22,87.26,0,9,6,0,0,0,0,0,0
500024,13,2025-08-27T11:30:00Z,10.557,22.96,32.2,0,8,7,0,0,0,0,0,0
500025,13,2025-08-27T11:45:00Z,12.313,16.94,55.6,0,9,6,0,0,0,0,0,0
500026,13,2025-08-27T12:00:00Z,12.882,18.45,44.96,0,9,6,1,0,0,0,0,0
500027,13,2025-08-27T12:15:00Z,11.273,18.34,61.18,0,8,7,0,0,0,0,0,0
500028,13,2025-08-27T12:30:00Z,10.5,18.7,8.9,0,8,7,0,0,0,0,0,0
500029,13,2025-08-27T12:45:00Z,11.795,21.09,32.97,0,9,6,0,0,1,0,0,0
500030,13,2025-08-27T13:00:00Z,11.016,28.6,324.92,8,9,6,0,0,0,0,0,0
500031,13,2025-08-27T13:15:00Z,12.47,22.22,343.56,7,7,8,0,0,0,0,0,0
500032,13,2025-08-27T13:30:00Z,11.41,21.52,334.37,9,8,7,0,1,0,0,0,0
500033,13,2025-08-27T13:45:00Z,10.142,12.63,249.07,9,9,6,1,0,0,0,0,0
500034,13,2025-08-27T14:00:00Z,10.648,13.82,287.56,9,9,6,0,0,0,0,0,0
500035,13,2025-08-27T14:15:00Z,12.386,20.63,269.76,6,7,8,0,0,0,0,0,0
500036,13,2025-08-27T14:30:00Z,11.287,20.99,72.6,0,8,7,0,0,0,0,0,0
500037,13,2025-08-27T14:45:00Z,11.641,23.12,75.09,0,7,8,0,0,0,0,1,0
500038,13,2025-08-27T15:00:00Z,9.601,23.02,58.15,0,7,8,0,0,0,0,0,0
500039,13,2025-08-27T15:15:00Z,11.602,13.52,41.5,0,8,7,0,0,0,0,0,0
500040,13,2025-08-27T15:30:00Z,8.824,16.8,78.74,1,7,8,0,0,0,0,0,0
500041,13,2025-08-27T15:45:00Z,13.003,20.38,59.54,0,8,7,0,0,0,0,0,0
500042,13,2025-08-27T16:00:00Z,11.723,22.6,19.47,0,8,7,1,0,0,0,0,0
500043,13,2025-08-27T16:15:00Z,10.978,21.01,46.47,0,8,7,0,1,0,1,0,0
500044,13,2025-08-27T16:30:00Z,10.715,20.28,90.39,0,8,7,0,0,0,0,0,0
500045,13,2025-08-27T16:45:00Z,13.549,86.77,44.6,0,0,15,0,0,0,0,0,0
500046,13,2025-08-27T17:00:00Z,14.366,89.19,73.21,0,0,15,0,1,0,0,0,0
500047,13,2025-08-27T17:15:00Z,16.665,66.78,104.81,0,0,15,0,0,0,0,0,0
500048,13,2025-08-27T17:30:00Z,16.068,82.2,40.16,1,0,15,0,0,0,1,0,0
500049,13,2025-08-27T17:45:00Z,13.306,63.99,30.57,0,0,15,1,0,0,0,0,0
500050,13,2025-08-27T18:00:00Z,15.284,75.39,50.37,0,0,15,0,0,0,0,1,0
500051,13,2025-08-27T18:15:00Z,16.556,81.94,68.25,0,0,15,0,0,0,1,0,0
500052,13,2025-08-27T18:30:00Z,17.19,88.61,66.11,0,0,15,0,0,0,0,0,0
500053,13,2025-08-27T18:45:00Z,17.186,89.03,46.51,0,0,15,0,0,0,0,0,0
500054,13,2025-08-27T19:00:00Z,14.972,76.16,73.93,0,0,15,0,0,0,0,0,0
500055,13,2025-08-27T19:15:00Z,14.286,87.1,86.57,0,0,15,0,1,0,0,0,0
500056,13,2025-08-27T19:30:00Z,11.743,21.87,44.27,0,3,12,0,0,0,0,0,0
500057,13,2025-08-27T19:45:00Z,12.13,30.07,45.85,0,2,13,0,0,0,0,0,0
500058,13,2025-08-27T20:00:00Z,10.379,21.97,65.55,0,2,13,0,0,0,0,0,0
500059,13,2025-08-27T20:15:00Z,9.64,32.01,45.38,0,2,13,0,0,0,0,0,0
500060,13,2025-08-27T20:30:00Z,10.793,28.19,220.18,0,2,13,9,11,0,0,0,0
500061,13,2025-08-27T20:45:00Z,12.137,23.89,161.46,0,2,13,8,12,0,0,0,0
